(trendCoefficient= '0.5957754499542928', state= '', country= 'Tajikistan', continent= 'Asia'weekYear= '2020-W15,[(4/9/20,0.0), (4/8/20,0.0), (4/7/20,0.0), (4/6/20,0.0), (4/12/20,0.0), (4/11/20,0.0), (4/10/20,0.0)])
(trendCoefficient= '12.23716824768841', state= '', country= 'Pakistan', continent= 'Asia'weekYear= '2020-W08,[(2/23/20,0.0), (2/22/20,0.0), (2/21/20,0.0), (2/20/20,0.0), (2/19/20,0.0), (2/18/20,0.0), (2/17/20,0.0)])
(trendCoefficient= '4.8609075514394045', state= '', country= 'South Africa', continent= 'Africa'weekYear= '2020-W06,[(2/9/20,0.0), (2/8/20,0.0), (2/7/20,0.0), (2/6/20,0.0), (2/5/20,0.0), (2/4/20,0.0), (2/3/20,0.0)])
(trendCoefficient= '1.9679449714516926', state= '', country= 'Nigeria', continent= 'Africa'weekYear= '2020-W06,[(2/9/20,0.0), (2/8/20,0.0), (2/7/20,0.0), (2/6/20,0.0), (2/5/20,0.0), (2/4/20,0.0), (2/3/20,0.0)])
(trendCoefficient= '10.615017458676137', state= 'Quebec', country= 'Canada', continent= 'America'weekYear= '2020-W20,[(5/17/20,736.0), (5/16/20,763.0), (5/15/20,697.0), (5/14/20,792.0), (5/13/20,705.0), (5/12/20,755.0), (5/11/20,748.0)])
(trendCoefficient= '22.27787768436512', state= '', country= 'Germany', continent= 'Europa'weekYear= '2020-W07,[(2/16/20,0.0), (2/15/20,0.0), (2/14/20,0.0), (2/13/20,0.0), (2/12/20,0.0), (2/11/20,2.0), (2/10/20,0.0)])
(trendCoefficient= '0.7502435223066433', state= '', country= 'Hungary', continent= 'Europa'weekYear= '2020-W05,[(2/2/20,0.0), (2/1/20,0.0), (1/31/20,0.0), (1/30/20,0.0), (1/29/20,0.0), (1/28/20,0.0), (1/27/20,0.0)])
(trendCoefficient= '0.4593729862578489', state= '', country= 'Somalia', continent= 'Africa'weekYear= '2020-W04,[(1/26/20,0.0), (1/25/20,0.0), (1/24/20,0.0), (1/23/20,0.0), (1/22/20,0.0)])
(trendCoefficient= '3.2759295059119724', state= '', country= 'Dominican Republic', continent= 'America'weekYear= '2020-W04,[(1/26/20,0.0), (1/25/20,0.0), (1/24/20,0.0), (1/23/20,0.0), (1/22/20,0.0)])
(trendCoefficient= '7.0036940460669275', state= '', country= 'Netherlands', continent= 'Europa'weekYear= '2020-W20,[(5/17/20,125.0), (5/16/20,189.0), (5/15/20,200.0), (5/14/20,270.0), (5/13/20,227.0), (5/12/20,196.0), (5/11/20,161.0)])
(trendCoefficient= '0.8355137946020471', state= '', country= 'Honduras', continent= 'America'weekYear= '2020-W20,[(5/17/20,81.0), (5/16/20,105.0), (5/15/20,142.0), (5/14/20,63.0), (5/13/20,155.0), (5/12/20,0.0), (5/11/20,128.0)])
(trendCoefficient= '9.661031935140644', state= '', country= 'Belgium', continent= 'Europa'weekYear= '2020-W06,[(2/9/20,0.0), (2/8/20,0.0), (2/7/20,0.0), (2/6/20,0.0), (2/5/20,0.0), (2/4/20,1.0), (2/3/20,0.0)])
(trendCoefficient= '0.9130962550015735', state= '', country= 'Malaysia', continent= 'Asia'weekYear= '2020-W08,[(2/23/20,0.0), (2/22/20,0.0), (2/21/20,0.0), (2/20/20,0.0), (2/19/20,0.0), (2/18/20,0.0), (2/17/20,0.0)])
(trendCoefficient= '0.25345052376028415', state= '', country= 'Kenya', continent= 'Africa'weekYear= '2020-W14,[(4/5/20,16.0), (4/4/20,4.0), (4/3/20,12.0), (4/2/20,29.0), (4/1/20,22.0), (3/31/20,9.0), (3/30/20,8.0)])
(trendCoefficient= '56.82077507530459', state= '', country= 'United Kingdom', continent= 'Europa'weekYear= '2020-W16,[(4/19/20,5850.0), (4/18/20,5525.0), (4/17/20,5599.0), (4/16/20,4617.0), (4/15/20,4603.0), (4/14/20,5252.0), (4/13/20,4342.0)])
(trendCoefficient= '90.6935815012963', state= '', country= 'Russia', continent= 'Europa'weekYear= '2020-W16,[(4/19/20,6060.0), (4/18/20,4785.0), (4/17/20,4070.0), (4/16/20,3448.0), (4/15/20,3388.0), (4/14/20,2774.0), (4/13/20,2558.0)])
